"","X","SiteID","Longitude.y","Latitude.x","Month","Year","Examined","Pf_pos","Pf_per","AvgTemp","MaxTemp","Precip","ALAN","PopDens","AGambiae","ALAN.lg","ALAN.trans"
"35",35,880899,26.9197,-17.2991,4,2016,58,1,0.0172,21.60000038,28.23686409,164.8431549,0.0006227,21.61203384,0.019548212,-0.198802165540851,-1.0685737114262
"36",36,880830,26.7811,-17.2861,4,2014,51,13,0.2549,21.20000076,27.3977108,89.13671875,0.000273854,19.72940063,0.032800582,-0.546904981425577,-1.18749363708112
"37",37,880830,27.0874,-17.278,4,2015,33,0,0,20.79999924,26.76659203,118.0208282,0.002725074,72.09947205,0.211108495,0.436969081074165,-0.854873899954152
"38",38,880830,27.0849,-17.2758,4,2016,48,0,0,20.79999924,27.1707592,171.6317444,0.002725074,72.09947205,0.211108495,0.436969081074165,-0.854873899954152
"39",39,880841,27.0902,-17.2753,4,2014,60,22,0.3667,20.79999924,26.7695446,96.84654236,0.002725074,72.09947205,0.211108495,0.436969081074165,-0.854873899954152
"40",40,880841,26.7716,-17.2736,4,2016,53,3,0.0566,21.10000038,27.80170441,149.1504517,0.000276528,20.77858162,0.032800582,-0.542832931632668,-1.18608696246596
"41",41,880841,26.7666,-17.269,4,2015,34,0,0,21.20000076,27.39753723,103.0047073,0.000282323,19.9633503,0.032800582,-0.534137012969232,-1.18308457991844
"42",42,880872,27.3951,-17.2411,4,2014,36,31,0.8611,25.89999962,31.20754242,103.8932114,0.002151958,30.99627876,0.414826642,0.334847252732271,-0.889055403031969
"43",43,880872,27.4082,-17.2402,4,2016,32,5,0.1562,25.70000076,31.63132668,183.6733704,0.002213061,30.99627686,0.414826642,0.346951379747991,-0.885002205058095
"44",44,880872,27.4001,-17.2378,4,2015,34,7,0.2059,25.70000076,31.20337486,129.1330719,0.002213061,30.99627686,0.414826642,0.346951379747991,-0.885002205058095
"45",45,880824,27.487,-17.1949,4,2014,38,32,0.8421,26,31.52695847,101.5334015,0.002177246,30.99627876,0.532155099,0.339897630972875,-0.887364166218155
"46",46,880824,27.4826,-17.1946,4,2015,32,12,0.375,26,31.5144577,125.4027405,0.002162897,30.99627876,0.532155099,0.337039140314163,-0.888321387247645
"47",47,880824,27.4855,-17.194,4,2016,47,10,0.2128,26,31.95456314,175.0452881,0.002177246,30.99627876,0.532155099,0.339897630972875,-0.887364166218155
"48",48,880960,27.0947,-17.1702,4,2016,33,0,0,20.89999962,27.12102699,167.337204,0.001318305,72.09947205,0.218845388,0.123297807417822,-0.959994700249612
"49",49,880960,27.0973,-17.1647,4,2014,73,26,0.3562,20.89999962,27.0108242,98.84560394,0.001318305,72.09947205,0.05769571,0.123297807417822,-0.959994700249612
"50",50,880960,27.096,-17.1596,4,2015,30,0,0,20.89999962,26.99606705,116.0555344,0.001276349,72.09947205,0.05769571,0.109358813231457,-0.964676852516838
"51",51,880884,26.9105,-17.1593,4,2015,42,0,0,21.10000038,27.13859749,103.9461746,0.000896299,21.61203384,0.01320458,-0.0427284992023804,-1.01584902937289
"52",52,880884,26.9214,-17.1513,4,2016,40,0,0,21,27.55147171,151.9331665,0.0010129,21.61203194,0.01424277,0.00983317860856277,-0.998144476288902
"53",53,880884,26.9062,-17.1497,4,2014,79,7,0.0886,21,27.1446743,91.18029785,0.000935238,21.61203194,0.01320458,-0.024458827392418,-1.00969261850283
"54",54,880930,27.3634,-17.1397,4,2015,23,5,0.2174,24.89999962,30.40001488,135.9413757,0.001784634,30.99627686,0.155311762,0.253975891361306,-0.916150279099616
"55",55,880930,27.3579,-17.1384,4,2016,41,6,0.1463,24.79999924,30.81650734,191.939621,0.001678011,30.99627876,0.155311762,0.227375272398484,-0.925068398844187
"56",56,880930,27.369,-17.1354,4,2014,40,23,0.575,25.10000038,30.42084885,112.5609589,0.001819796,30.99627876,0.155311762,0.262402673876431,-0.913325764635003
"57",57,880813,27.5233,-17.1292,4,2014,49,34,0.6939,25.79999924,31.37895966,100.9771271,0.001919173,30.99627686,0.509836778,0.285371175065589,-0.905628624965037
"58",58,880813,27.5225,-17.1275,4,2016,51,5,0.098,25.79999924,31.80100822,170.115448,0.001697205,30.99627686,0.509836778,0.232285674028163,-0.923421899154425
